source_dataset,purpose,year,country,nace_code,region,indic_sbs,observed_value,status_flag,raw_value
sbs_ovw_iep,market_size_plausibility_context,2021,IT,F,southern_europe,INV_SOFT_MEUR,50.79,,50.79
sbs_ovw_iep,market_size_plausibility_context,2021,LT,B,eastern_europe,INV_SOFT_MEUR,0.2,,0.20
sbs_ovw_iep,market_size_plausibility_context,2021,LT,C,eastern_europe,INV_SOFT_MEUR,38.27,,38.27
sbs_ovw_iep,market_size_plausibility_context,2021,LT,C21,eastern_europe,INV_SOFT_MEUR,,,: @C
sbs_ovw_iep,market_size_plausibility_context,2021,LT,C29,eastern_europe,INV_SOFT_MEUR,0.43,,0.43
sbs_ovw_iep,market_size_plausibility_context,2021,LT,D35,eastern_europe,INV_SOFT_MEUR,7.9,,7.90
sbs_ovw_iep,market_size_plausibility_context,2021,LT,F,eastern_europe,INV_SOFT_MEUR,4.74,,4.74
sbs_ovw_iep,market_size_plausibility_context,2021,LU,B,benelux,INV_SOFT_MEUR,0.01,,0.01
sbs_ovw_iep,market_size_plausibility_context,2021,LU,C,benelux,INV_SOFT_MEUR,21.29,,21.29
sbs_ovw_iep,market_size_plausibility_context,2021,LU,C21,benelux,INV_SOFT_MEUR,,,: @C
sbs_ovw_iep,market_size_plausibility_context,2021,LU,C29,benelux,INV_SOFT_MEUR,,,: @C
sbs_ovw_iep,market_size_plausibility_context,2021,LU,D35,benelux,INV_SOFT_MEUR,12.51,,12.51
sbs_ovw_iep,market_size_plausibility_context,2021,LU,F,benelux,INV_SOFT_MEUR,6.75,,6.75
sbs_ovw_iep,market_size_plausibility_context,2021,NL,B,benelux,INV_SOFT_MEUR,5.17,,5.17
sbs_ovw_iep,market_size_plausibility_context,2021,NL,C,benelux,INV_SOFT_MEUR,482.42,,482.42
sbs_ovw_iep,market_size_plausibility_context,2021,NL,C21,benelux,INV_SOFT_MEUR,23.56,,23.56
sbs_ovw_iep,market_size_plausibility_context,2021,NL,C29,benelux,INV_SOFT_MEUR,9.41,,9.41
sbs_ovw_iep,market_size_plausibility_context,2021,NL,D35,benelux,INV_SOFT_MEUR,104.12,,104.12
