source_dataset,purpose,year,country,nace_code,region,size_class,indic_sbs,observed_value,status_flag,raw_value
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,C,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,C,eastern_europe,50-249,ENT_NR,656.0,p,656 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,C,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,F,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,F,eastern_europe,50-249,ENT_NR,358.0,p,358 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,F,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,H,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,H,eastern_europe,50-249,ENT_NR,157.0,p,157 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,H,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,K,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,K,eastern_europe,50-249,ENT_NR,32.0,p,32 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,K,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,IE,B,uk_ireland,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,IE,C,uk_ireland,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,IE,F,uk_ireland,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,IE,H,uk_ireland,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,IE,K,uk_ireland,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,IT,B,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,IT,B,southern_europe,50-249,ENT_NR,46.0,p,46 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,IT,C,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,IT,C,southern_europe,50-249,ENT_NR,9543.0,p,9543 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,IT,F,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,IT,F,southern_europe,50-249,ENT_NR,1935.0,p,1935 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,IT,H,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,IT,H,southern_europe,50-249,ENT_NR,2187.0,p,2187 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,IT,K,southern_europe,50-249,ENT_NR,407.0,p,407 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,B,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,B,eastern_europe,50-249,ENT_NR,13.0,p,13 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,B,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,C,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,C,eastern_europe,50-249,ENT_NR,657.0,p,657 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,C,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,F,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,F,eastern_europe,50-249,ENT_NR,291.0,p,291 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,F,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,H,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,H,eastern_europe,50-249,ENT_NR,355.0,p,355 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,H,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,K,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,K,eastern_europe,50-249,ENT_NR,37.0,p,37 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,LT,K,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,B,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,B,eastern_europe,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,B,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,C,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,C,eastern_europe,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,C,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,F,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,F,eastern_europe,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,F,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,H,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,H,eastern_europe,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,H,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,K,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,K,eastern_europe,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,LV,K,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,B,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,B,eastern_europe,50-249,ENT_NR,91.0,p,91 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,B,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,C,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,C,eastern_europe,50-249,ENT_NR,5582.0,p,5582 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,C,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,F,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,F,eastern_europe,50-249,ENT_NR,1140.0,p,1140 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,F,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,H,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,H,eastern_europe,50-249,ENT_NR,1249.0,p,1249 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,H,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,K,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,K,eastern_europe,50-249,ENT_NR,400.0,p,400 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,PL,K,eastern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,B,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,B,southern_europe,50-249,ENT_NR,25.0,p,25 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,B,southern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,C,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,C,southern_europe,50-249,ENT_NR,2377.0,p,2377 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,C,southern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,F,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,F,southern_europe,50-249,ENT_NR,844.0,p,844 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,F,southern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,H,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,H,southern_europe,50-249,ENT_NR,405.0,p,405 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,H,southern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,K,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,K,southern_europe,50-249,ENT_NR,130.0,p,130 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,PT,K,southern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,SE,B,nordics,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,SE,C,nordics,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,SE,F,nordics,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,SE,H,nordics,50-249,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,SE,K,nordics,50-249,ENT_NR,,,:
